year,lgID,tmID,franchID,name
1917,NHL,MTL,MTL,Montreal Canadiens
1917,NHL,MTW,MTW,Montreal Wanderers
1917,NHL,OTS,STE,Ottawa Senators
1917,NHL,TOA,TOR,Toronto Arenas
1919,NHL,QUB,BKN,Quebec Bulldogs
1919,NHL,TRS,TOR,Toronto St. Patricks
1920,NHL,HAM,BKN,Hamilton Tigers
1924,NHL,BOS,BOS,Boston Bruins
1924,NHL,MTM,MTM,Montreal Maroons
1925,NHL,PIP,PHQ,Pittsburgh Pirates
1925,NHL,NYA,BKN,New York Americans
1926,NHL,NYR,NYR,New York Rangers
1926,NHL,DTC,DET,Detroit Cougars
1926,NHL,CHI,CHI,Chicago Black Hawks
1927,NHL,TOR,TOR,Toronto Maple Leafs
1930,NHL,PHQ,PHQ,Philadelphia Quakers
1930,NHL,DTF,DET,Detroit Falcons
1932,NHL,DET,DET,Detroit Red Wings
1934,NHL,STE,STE,St. Louis Eagles
1941,NHL,BKN,BKN,Brooklyn Americans
1967,NHL,STL,STL,St. Louis Blues
1967,NHL,PIT,PIT,Pittsburgh Penguins
1967,NHL,PHI,PHI,Philadelphia Flyers
1967,NHL,OAK,CLE,Oakland Seals
1967,NHL,MNS,DAL,Minnesota North Stars
1967,NHL,LAK,LAK,Los Angeles Kings
1970,NHL,VAN,VAN,Vancouver Canucks
1970,NHL,CLF,CLE,California Golden Seals
1970,NHL,BUF,BUF,Buffalo Sabres
1972,NHL,NYI,NYI,New York Islanders
1972,NHL,ATF,CAL,Atlanta Flames
1974,NHL,WAS,WAS,Washington Capitals
1974,NHL,KCS,NJD,Kansas City Scouts
1976,NHL,COR,NJD,Colorado Rockies
1976,NHL,CLE,CLE,Cleveland Barons
1979,NHL,QUE,COL,Quebec Nordiques
1979,NHL,WIN,PHO,Winnipeg Jets
1979,NHL,HAR,CAR,Hartford Whalers
1979,NHL,EDM,EDM,Edmonton Oilers
1980,NHL,CAL,CAL,Calgary Flames
1982,NHL,NJD,NJD,New Jersey Devils
1986,NHL,CHI,CHI,Chicago Blackhawks
1991,NHL,SJS,SJS,San Jose Sharks
1992,NHL,TBL,TBL,Tampa Bay Lightning
1993,NHL,ANA,ANA,Mighty Ducks of Anaheim
1993,NHL,FLO,FLO,Florida Panthers
1993,NHL,DAL,DAL,Dallas Stars
1995,NHL,COL,COL,Colorado Avalanche
1996,NHL,PHO,PHO,Phoenix Coyotes
1997,NHL,CAR,CAR,Carolina Hurricanes
1998,NHL,NAS,NAS,Nashville Predators
1999,NHL,ATL,WPG,Atlanta Thrashers
2000,NHL,CBS,CBS,Columbus Blue Jackets
2000,NHL,MIN,MIN,Minnesota Wild
2006,NHL,AND,ANA,Anaheim Ducks
